hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
키리코,Support,Grandmaster,nepal,네팔,2026-04-26,50.3,49.1,0.2047105398283433,3.914021008090819,2.698635961061838,1.2022807083217413,S
토르비욘,Damage,Grandmaster,nepal,네팔,2026-04-26,50.2,2.1,0.1759495548937843,1.1314021114911006,-1.5599139472778918,-0.5183958459748862,C
트레이서,Damage,Grandmaster,nepal,네팔,2026-04-26,50.7,12.2,0.3197544795665877,2.580216829592325,0.6573676907180992,0.4547997640271923,A
파라,Damage,Grandmaster,nepal,네팔,2026-04-26,55.6,7.2,1.72904274136006,2.104134154270207,-0.0712343596139061,1.0089319009704734,S
프레야,Damage,Grandmaster,nepal,네팔,2026-04-26,45.1,2.4,-1.2908606767688102,1.2237754316221157,-1.4185448239467502,-1.3419343356399862,C
한조,Damage,Grandmaster,nepal,네팔,2026-04-26,48.9,4.7,-0.1979432492555055,1.7404661748405046,-0.6277957494466717,-0.369884249331972,B
해저드,Tank,Grandmaster,nepal,네팔,2026-04-26,54.7,7.1,1.4701938769490144,2.0918640616783932,-0.0900126413779098,0.8461112696182447,S
시에라,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,49.0,27.2,-0.1749327582336164,3.339321977944068,1.7745879100786712,0.6048755090912986,S
라마트라,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,50.8,7.7,0.4027228966529425,2.1633230256605382,0.0457271471888264,0.259924596867296,A
D.VA,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,49.1,7.7,-0.1428407774065849,2.1633230256605382,0.0457271471888264,-0.0674136075684203,B
겐지,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,50.2,13.9,0.2101710116907576,2.7013612129514133,0.8367083884028107,0.4607859623755789,A
도미나,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,52.7,5.7,1.0124705323665353,1.9021075263969205,-0.3382912453944598,0.4721658212621372,A
둠피스트,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,47.8,5.7,-0.5600365281579907,1.9021075263969205,-0.3382912453944598,-0.4713384150525783,C
라이프위버,Support,All,antarctic-peninsula,남극 반도,2026-04-26,48.2,7.3,-0.4316686048498644,2.1162555148025524,-0.0234677892277875,-0.2683882786010336,B
라인하르트,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,50.1,7.1,0.1780790308637261,2.0918640616783932,-0.0593261768346318,0.0831169477843829,B
레킹볼,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,48.8,2.7,-0.2391167198876796,1.308332819650179,-1.2112119146667626,-0.6279547977993128,C
로드호그,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,45.0,6.1,-1.4586119913148603,1.9600947840472696,-0.2530429598372271,-0.9763843787238072,C
루시우,Support,All,antarctic-peninsula,남극 반도,2026-04-26,50.0,7.2,0.1459870500366945,2.104134154270207,-0.0412876559687574,0.0710771676345137,B
리퍼,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,54.8,15.1,1.686402129734187,2.7788192719904172,0.9505811080868778,1.392073721075263,S
